Timestamp,"Please indicate your survey ID number (last 4 digits of phone + last 3 digits of home ZIP, formatted dddd-ddd)",Please indicate your professor (and class for Haverford),How confident are you about coding a sorting algorithm?,How confident are you with big-O notation?,What is the time complexity of selection sort?,What guarantee could be made of the list to be sorted after the initial iteration of the outer loop of the selection sort algorithm?,What statement is true about the selection sort algorithm?,The song will help me remember the algorithm better for future use.,The song did NOT help my understanding of selection sort.,The order of the videos made sense and flowed naturally., I thought the lyrics of the song translated readily into actual code.,The song made my learning experience more fun.,The videos made the algorithm and material less intimidating.,The video series was NOT a good use of my time to understand selection sort.,The video series will be a good study resource for quizzes and exams.,I would like more video series with songs to help me learn other algorithms/concepts.,Please feel free to offer us any other thoughts you have about the videos!,Gender?,Race/Ethnicity?,Disability/Impairment?
3/28/16 0:26,1652-109,Knerr,4,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",4,1,3,4,5,4,2,4,5,This is great! The quality of the background piano music is fantastic.,Male,While,nada
3/28/16 0:30,7167-109,Knerr,3,3,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",2,3,5,5,4,4,1,4,4,"These videos may have assumed a bit to little background knowledge. They were helpful though, thanks!",male,hispanic/white,none
3/28/16 0:51,7250-912,Knerr,3,4,O(1),Both the largest would be at the end and the smallest would be at the start.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,2,4,3,5,4,2,3,4,,female,no,no
3/28/16 9:37,2222-084,Knerr,3,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",2,4,4,3,3,4,2,3,3,,Male,Hispanic,None
3/28/16 10:07,1898-009,Knerr,4,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,3,4,3,3,3,4,3,2,,Male,White,
3/28/16 10:16,6180-619,Knerr,4,3,O(log n),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",4,2,4,4,5,5,2,4,5,,Male,African American,None
3/28/16 12:35,3815-382,Knerr,3,2,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,4,4,4,3,3,3,4,3,,Male,White,ADHD and other learning disabilities 
3/28/16 14:06,9242-081,Brody,3,3,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,3,4,3,3,4,2,4,3,,male,Asian,laziness / lack of motivation
3/28/16 15:16,2364-060,Knerr,5,5,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,3,4,5,3,4,2,3,3,,man,white,None
3/28/16 21:13,2843-602,Knerr,3,3,O(n^2),Cannot make any guarantee after the initial pass,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,2,4,4,3,3,3,3,3,,female,white,
3/28/16 22:16,8772-041,Brody,5,3,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,3,4,5,4,4,2,3,3,,Female,Asian,None
3/28/16 22:50,1145-816,Brody,4,3,O(n),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",1,5,4,1,1,3,3,3,3,,,,
3/28/16 23:00,4666-334,Brody,4,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",2,3,5,4,3,4,3,3,3,,female,white,no
3/28/16 23:11,6505-081,Brody,5,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop increases.",2,3,4,4,4,3,2,2,3,,male,asian,
3/28/16 23:51,6921-243,Brody,5,2,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",1,4,3,4,1,2,5,1,2,"They were too long and a little boring. I also like my information to be straight to the point and clear when learning, so I might not be your intended audience. They are not horrible by any means, just not great and not suited to my personal learning style.",Male,White,No
3/29/16 0:18,7968-081,Brody,2,2,O(n^2),I do not know.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",1,5,3,2,2,3,4,3,2,,M,Asian,
3/29/16 7:28,2942-081,Brody,2,2,O(log n),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop increases.",2,3,4,3,3,3,4,1,2,,Female,Prefer Not to Answer,NA
3/29/16 14:51,,Knerr,3,3,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,3,5,5,5,5,1,5,5,,male,White,
3/30/16 20:13,3642-145,Meeden,4,4,O(n^2),The smallest element is at the start of the list.,The algorithm stops as soon as the list is sorted,2,4,5,5,5,5,1,5,4,"i don't think the song (musically) was catchy enough to be used as a studying skill. if it was to a song we knew, or if it rhymed, maybe it could work?",female,asian,none
4/9/16 19:21,2200-000,Dougherty 106,4,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",4,2,5,5,5,4,2,4,5,,Male,Asian,N/A
4/10/16 23:29,1685-205,Dougherty 104,4,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop increases.",2,2,3,4,3,3,4,4,2,,Female,White,None
4/11/16 1:29,9176-814,Dougherty 106,5,3,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",4,2,3,4,4,5,2,4,4,They drag a little- the information could be presented much more concisely. The creators need to be aware of what level of experience their audience has.,Female.,White,
4/11/16 15:33,5757-825,Dougherty 106,5,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",2,3,4,4,4,5,2,2,3,,Male,White,None
4/11/16 17:20,8696-041,Dougherty 106,4,3,O(n^2),The smallest element is at the start of the list.,"none of these are true, I think",1,5,4,3,1,2,5,2,1,,Woman,White,No
4/12/16 8:07,,Dougherty 106,3,3,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",2,4,5,4,2,4,1,1,4,Great to learn concepts for prep before class.  Would be an awful source to study for exams.,,,
4/12/16 8:39,6736-050,Dougherty 106,4,4,O(n^2),The list would be sorted.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",4,4,4,3,3,4,2,5,4,,male,black/African american,
4/12/16 9:08,7323-070,Dougherty 106,4,3,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,3,4,4,4,5,2,4,3,,Female,White/Asian,
4/12/16 9:27,,Dougherty 106,4,5,O(n),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",2,2,4,3,2,4,2,4,4,,female,north african,
4/12/16 21:26,6233-015,Dougherty 106,4,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop increases.",2,3,3,3,3,3,3,3,3,,,,
4/13/16 16:57,6727-155,Dougherty 106,4,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop increases.",3,3,4,3,4,4,2,4,4,,Male,White,
